field_110700_P,horseLeftFaceMetal,0,
field_110701_S,horseRightRein,0,
field_110702_R,horseLeftRein,0,
field_110703_f,muleLeftEar,0,
field_110704_g,muleRightEar,0,
field_110705_d,horseLeftEar,0,
field_110706_e,horseRightEar,0,
field_110707_b,mouthTop,0,
field_110708_c,mouthBottom,0,
field_110709_a,head,0,
field_110710_n,tailTip,0,
field_110711_o,backLeftLeg,0,
field_110712_l,tailBase,0,
field_110713_m,tailMiddle,0,
field_110714_j,mane,0,
field_110715_k,body,0,
field_110716_h,neck,0,
field_110717_i,horseFaceRopes,0,
field_110718_w,backLeftHoof,0,
field_110719_v,backLeftShin,0,
field_110720_z,backRightHoof,0,
field_110721_y,backRightShin,0,
field_110722_x,backRightLeg,0,
field_110737_b,particleTextures,0,
field_110778_a,shadowTextures,0,
field_110780_a,arrowTextures,0,
field_110782_f,boatTextures,0,
field_110785_a,experienceOrbTextures,0,
field_110787_a,enderCrystalTextures,0,
field_110789_a,mapBackgroundTextures,0,
field_110798_h,RES_ITEM_GLINT,0,
field_110801_f,leashKnotModel,0,
field_110802_a,leashKnotTextures,0,
field_110804_g,minecartTextures,0,
field_110810_f,witherTextures,0,
field_110811_a,invulnerableWitherTextures,0,
field_110814_a,RES_ITEM_GLINT,0,
field_110826_a,steveTextures,0,
field_110830_f,creeperTextures,0,
field_110831_a,armoredCreeperTextures,0,
field_110833_a,cowTextures,0,
field_110835_a,batTextures,0,
field_110837_a,blazeTextures,0,
field_110839_f,endermanTextures,0,
field_110840_a,endermanEyesTexture,0,
field_110842_f,enderDragonExplodingTextures,0,
field_110843_g,enderDragonCrystalBeamTextures,0,
field_110844_k,enderDragonTextures,0,
field_110845_h,enderDragonEyesTextures,0,
field_110850_f,whiteHorseTextures,0,
field_110851_g,muleTextures,0,
field_110853_l,skeletonHorseTextures,0,
field_110854_k,zombieHorseTextures,0,
field_110855_h,donkeyTextures,0,
field_110861_l,witherSkeletonTextures,0,
field_110862_k,skeletonTextures,0,
field_110864_q,zombieVillagerTextures,0,
field_110865_p,zombieTextures,0,
field_110866_o,zombiePigmanTextures,0,
field_110868_f,ghastShootingTextures,0,
field_110869_a,ghastTextures,0,
field_110871_a,zombieTextures,0,
field_110873_a,magmaCubeTextures,0,
field_110875_f,ocelotTextures,0,
field_110876_g,redOcelotTextures,0,
field_110877_a,blackOcelotTextures,0,
field_110878_h,siameseOcelotTextures,0,
field_110880_a,mooshroomTextures,0,
field_110882_a,silverfishTextures,0,
field_110884_f,shearedSheepTextures,0,
field_110885_a,sheepTextures,0,
field_110887_f,pigTextures,0,
field_110888_a,saddledPigTextures,0,
field_110890_f,spiderTextures,0,
field_110891_a,spiderEyesTextures,0,
field_110893_a,caveSpiderTextures,0,
field_110895_a,snowManTextures,0,
field_110897_a,slimeTextures,0,
field_110899_a,ironGolemTextures,0,
field_110901_a,squidTextures,0,
field_110903_f,villagerTextures,0,
field_110904_g,farmerVillagerTextures,0,
field_110905_l,smithVillagerTextures,0,
field_110906_m,butcherVillagerTextures,0,
field_110907_k,priestVillagerTextures,0,
field_110908_h,librarianVillagerTextures,0,
field_110910_a,witchTextures,0,
field_110912_f,witherTextures,0,
field_110913_a,invulnerableWitherTextures,0,
field_110915_f,tamedWolfTextures,0,
field_110916_g,anrgyWolfTextures,0,
field_110917_a,wolfTextures,0,
field_110918_h,wolfCollarTextures,0,
field_110920_a,chickenTextures,0,
field_110922_T,locationLightMap,0,
field_110923_r,locationSnowPng,0,
field_110924_q,locationRainPng,0,
field_110925_j,locationCloudsPng,0,
field_110926_k,locationEndSkyPng,0,
field_110927_h,locationMoonPhasesPng,0,
field_110928_i,locationSunPng,0,
field_110929_d,RES_UNDERWATER_OVERLAY,0,
field_110930_b,RES_ITEM_GLINT,0,
field_110931_c,RES_MAP_BACKGROUND,0,
field_110973_g,frameCounter,0,
field_110974_d,originY,0,
field_110975_c,originX,0,
field_110976_a,framesTextureData,0,
field_110977_n,minV,0,
field_110978_o,maxV,0,
field_110979_l,minU,0,
field_110980_m,maxU,0,
field_110982_k,animationMetadata,0,
field_110983_h,tickCounter,0,
field_110984_i,iconName,0,
field_110999_b,missingTextureData,0,
field_111000_c,dataBuffer,0,
field_111001_a,missingTexture,0,
field_111053_a,numericVariablePattern,2,
field_111113_b,defaultValue,2,
field_111114_c,shouldWatch,2,
field_111115_a,unlocalizedName,2,
field_111118_b,maximumValue,2,
field_111119_c,description,2,
field_111120_a,minimumValue,2,
field_111132_f,baseValue,2,
field_111133_g,needsUpdate,2,
field_111134_d,mapByName,2,
field_111135_e,mapByUUID,2,
field_111136_b,genericAttribute,2,
field_111137_c,mapByOperation,2,
field_111138_a,attributeMap,2,
field_111139_h,cachedValue,2,
field_111153_b,attributesByName,2,
field_111154_a,attributes,2,
field_111162_d,attributeInstanceSet,2,
field_111163_c,descriptionToAttributeInstanceMap,2,
field_111170_d,id,2,
field_111171_e,isSaved,2,
field_111172_b,operation,2,
field_111173_c,name,2,
field_111174_a,amount,2,
field_111180_a,horseHost,2,
field_111188_I,attributeModifierMap,2,
field_111192_g,previousTotalWorldTime,2,
field_111193_e,playerInstanceList,2,
field_111198_g,previousWorldTime,2,
field_111203_a,moonPhaseFactors,2,
field_111204_q,inhabitedTime,2,
field_111210_e,itemModifierUUID,2,
field_111218_cA,iconString,2,
field_111230_s,enchantmentTypes,2,
field_111242_f,theHorse,2,
field_111263_d,movementSpeed,2,
field_111264_e,attackDamage,2,
field_111265_b,followRange,2,
field_111266_c,knockbackResistance,2,
field_111267_a,maxHealth,2,
field_111273_g,locationFontTexture,0,
field_111274_c,unicodePageLocations,0,
field_120021_b,server,1,
field_130070_K,fileResourcepacks,0,
field_130074_a,joinerResourcePacks,0,
field_130089_b,mapResourceLocations,0,
field_130222_e,rotated,0,
field_130223_c,width,0,
field_130224_d,height,0,
field_135017_as,mcLanguageManager,0,
field_135019_a,languages,0,
field_135030_b,splitter,0,
field_135036_d,bidirectional,0,
field_135037_b,region,0,
field_135038_c,name,0,
field_135039_a,languageCode,0,
field_135046_d,languageMap,0,
field_135047_b,theMetadataSerializer,0,
field_135048_c,currentLanguage,0,
field_135049_a,currentLocale,0,
field_135054_a,i18nLocale,0,
field_135057_d,setResourceDomains,0,
field_135059_Q,animalSpawner,2,
field_135065_b,equalSignSplitter,2,
field_142016_bo,lastAttackerTime,2,
field_142022_ce,clientBrand,0,
field_142025_a,isRunningOnMac,0,
field_142052_b,revengeTimerOld,2,
field_143005_bX,playerLastActiveTime,2,
field_143008_E,maxPlayerIdleMinutes,2,
field_145761_f,customName,2,
field_145762_d,lastOutput,2,
field_145763_e,commandStored,2,
field_145764_b,successCount,2,
field_145765_c,trackOutput,2,
field_145766_a,timestampFormat,2,
field_145783_c,entityId,2,
field_145785_f,inBlock,2,
field_145786_d,yTile,2,
field_145787_e,zTile,2,
field_145788_c,xTile,2,
field_145803_d,logger,2,
field_145804_b,delayBeforeCanPickup,2,
field_145809_g,hurtEntities,2,
field_145810_d,tileEntityData,2,
field_145811_e,blockObj,2,
field_145812_b,fallTime,2,
field_145813_c,shouldDropItem,2,
field_145814_a,metadata,2,
field_145815_h,fallHurtMax,2,
field_145816_i,fallHurtAmount,2,
field_145846_f,tileEntityInvalid,2,
field_145847_g,blockMetadata,2,
field_145848_d,yCoord,2,
field_145849_e,zCoord,2,
field_145850_b,worldObj,2,
field_145851_c,xCoord,2,
field_145852_a,logger,2,
field_145853_j,classToNameMap,2,
field_145854_h,blockType,2,
field_145855_i,nameToClassMap,2,
field_145869_a,storedBlock,2,
field_145870_n,lastProgress,2,
field_145871_o,pushedObjects,2,
field_145872_l,shouldHeadBeRendered,2,
field_145873_m,progress,2,
field_145874_j,storedOrientation,2,
field_145875_k,extending,2,
field_145876_i,storedMetadata,2,
field_145879_a,note,2,
field_145880_i,previousRedstoneState,2,
field_145901_j,transferCooldown,2,
field_145908_a,skullType,2,
field_145910_i,skullRotation,2,
field_145915_a,signText,2,
field_145916_j,isEditable,2,
field_145918_i,lineBeingEdited,2,
field_145925_p,bookRotationPrev,2,
field_145926_a,tickCount,2,
field_145927_n,bookSpreadPrev,2,
field_145928_o,bookRotation,2,
field_145930_m,bookSpread,2,
field_145931_j,pageFlipPrev,2,
field_145933_i,pageFlip,2,
field_145941_a,inputSlots,2,
field_145943_l,filledSlots,2,
field_145944_m,ingredientID,2,
field_145945_j,brewingItemStacks,2,
field_145946_k,brewTime,2,
field_145947_i,outputSlots,2,
field_145956_a,furnaceBurnTime,2,
field_145957_n,furnaceItemStacks,2,
field_145958_o,furnaceCustomName,2,
field_145959_l,slotsBottom,2,
field_145960_m,slotsSides,2,
field_145961_j,furnaceCookTime,2,
field_145962_k,slotsTop,2,
field_145963_i,currentItemBurnTime,2,
field_145967_a,flowerPotItem,2,
field_145968_i,flowerPotData,2,
field_145975_i,prevLidAngle,2,
field_145981_s,customName,2,
field_145982_r,cachedChestType,2,
field_145983_q,ticksSinceSync,2,
field_145984_a,adjacentChestChecked,2,
field_145985_p,chestContents,2,
field_145986_n,prevLidAngle,2,
field_145987_o,numPlayersUsing,2,
field_145988_l,adjacentChestZPos,2,
field_145989_m,lidAngle,2,
field_145990_j,adjacentChestXPos,2,
field_145991_k,adjacentChestXNeg,2,
field_145992_i,adjacentChestZNeg,2,
field_145997_a,outputSignal,2,
field_146009_a,effectsList,2,
field_146010_n,secondaryEffect,2,
field_146011_o,payment,2,
field_146012_l,levels,2,
field_146013_m,primaryEffect,2,
field_146015_k,isComplete,2,
field_146036_f,FISH,2,
field_146037_g,xTile,2,
field_146038_az,ticksCatchableDelay,2,
field_146039_d,JUNK,2,
field_146040_ay,ticksCaughtDelay,2,
field_146041_e,VALUABLES,2,
field_146042_b,angler,2,
field_146043_c,caughtEntity,2,
field_146044_a,shake,2,
field_146045_ax,ticksCatchable,2,
field_146046_j,inTile,2,
field_146047_aw,ticksInAir,2,
field_146048_h,yTile,2,
field_146049_av,ticksInGround,2,
field_146050_i,zTile,2,
field_146051_au,inGround,2,
field_146052_aI,clientMotionY,0,
field_146053_aJ,clientMotionZ,0,
field_146054_aA,fishApproachAngle,2,
field_146055_aB,fishPosRotationIncrements,2,
field_146056_aC,fishX,2,
field_146057_aD,fishY,2,
field_146058_aE,fishZ,2,
field_146059_aF,fishYaw,2,
field_146060_aG,fishPitch,2,
field_146061_aH,clientMotionX,0,
field_146084_br,playerInLove,2,
field_146087_bs,entityAIEatGrass,2,
field_146106_i,gameProfile,2,
field_146109_a,mc,0,
field_146120_f,width,0,
field_146121_g,height,0,
field_146122_a,buttonTextures,0,
field_146123_n,hovered,0,
field_146124_l,enabled,0,
field_146125_m,visible,0,
field_146126_j,displayString,0,
field_146127_k,id,0,
field_146128_h,xPosition,0,
field_146129_i,yPosition,0,
field_146133_q,options,0,
field_146134_p,sliderValue,0,
field_146135_o,dragging,0,
field_146137_o,enumOptions,0,
field_146164_r,fontRenderer,0,
field_146170_l,centered,0,
field_146171_m,labelBgEnabled,0,
field_146172_j,visible,0,
field_146209_f,xPosition,0,
field_146210_g,yPosition,0,
field_146211_a,fontRendererInstance,0,
field_146212_n,canLoseFocus,0,
field_146213_o,isFocused,0,
field_146214_l,cursorCounter,0,
field_146215_m,enableBackgroundDrawing,0,
field_146216_j,text,0,
field_146217_k,maxStringLength,0,
field_146218_h,width,0,
field_146219_i,height,0,
field_146220_v,visible,0,
field_146221_u,disabledColor,0,
field_146222_t,enabledColor,0,
field_146223_s,selectionEnd,0,
field_146224_r,cursorPosition,0,
field_146225_q,lineScrollOffset,0,
field_146226_p,isEnabled,0,
field_146247_f,mc,0,
field_146248_g,sentMessages,0,
field_146249_a,logger,0,
field_146250_j,scrollPos,0,
field_146251_k,isScrolled,0,
field_146252_h,chatLines,0,
field_146259_f,mc,0,
field_146260_g,width,0,
field_146261_a,achievementBg,0,
field_146262_n,permanentNotification,0,
field_146263_l,notificationTime,0,
field_146264_m,renderItem,0,
field_146265_j,achievementDescription,0,
field_146266_k,theAchievement,0,
field_146267_h,height,0,
field_146268_i,achievementTitle,0,
field_146287_f,eventButton,0,
field_146288_g,lastMouseEvent,0,
field_146289_q,fontRendererObj,0,
field_146290_a,selectedButton,0,
field_146291_p,allowUserInput,0,
field_146292_n,buttonList,0,
field_146293_o,labelList,0,
field_146294_l,width,0,
field_146295_m,height,0,
field_146296_j,itemRender,0,
field_146297_k,mc,0,
field_146298_h,touchValue,0,
field_146304_f,message,0,
field_146305_g,multilineMessage,0,
field_146306_a,reason,0,
field_146307_h,parentScreen,0,
field_146308_f,serverIPField,0,
field_146309_g,serverNameField,0,
field_146310_a,parentScreen,0,
field_146311_h,serverData,0,
field_146349_a,logger,0,
field_146351_f,messageLine1,0,
field_146352_g,confirmButtonText,0,
field_146353_s,ticksUntilEnable,0,
field_146354_r,messageLine2,0,
field_146355_a,parentScreen,0,
field_146356_h,cancelButtonText,0,
field_146357_i,parentButtonClickedId,0,
field_146360_u,showSecurityWarning,0,
field_146361_t,linkText,0,
field_146362_s,copyLinkButtonText,0,
field_146363_r,openLinkWarning,0,
field_146370_f,logger,0,
field_146371_g,networkManager,0,
field_146372_a,CONNECTION_ID,0,
field_146373_h,cancel,0,
field_146374_i,previousGuiScreen,0,
field_146385_f,createWorldGui,0,
field_146387_g,theFlatGeneratorInfo,0,
field_146390_s,createFlatWorldListSlotGui,0,
field_146400_h,game_settings,0,
field_146408_f,logger,0,
field_146409_v,defaultInputFieldText,0,
field_146410_g,historyBuffer,0,
field_146411_u,clickedURI,0,
field_146412_t,foundPlayerNames,0,
field_146413_s,autocompleteIndex,0,
field_146414_r,waitingOnAutocomplete,0,
field_146415_a,inputField,0,
field_146416_h,sentHistoryCursor,0,
field_146417_i,playerNamesFound,0,
field_146443_h,game_settings_1,0,
field_146451_g,game_settings_3,0,
field_146465_D,buttonSign,0,
field_146466_f,bookGuiTextures,0,
field_146467_E,buttonFinalize,0,
field_146468_g,editingPlayer,0,
field_146469_F,buttonCancel,0,
field_146470_A,buttonNextPage,0,
field_146471_B,buttonPreviousPage,0,
field_146472_C,buttonDone,0,
field_146473_a,logger,0,
field_146474_h,bookObj,0,
field_146475_i,bookIsUnsigned,0,
field_146476_w,bookTotalPages,0,
field_146477_v,bookImageHeight,0,
field_146478_u,bookImageWidth,0,
field_146479_t,updateCount,0,
field_146480_s,bookGettingSigned,0,
field_146481_r,bookIsModified,0,
field_146482_z,bookTitle,0,
field_146483_y,bookPages,0,
field_146484_x,currPage,0,
field_146485_f,commandTextField,0,
field_146487_r,cancelBtn,0,
field_146489_h,localCommandBlock,0,
field_146490_i,doneBtn,0,
field_146491_f,buttonId,0,
field_146492_g,optionsArr,0,
field_146493_s,buttonReset,0,
field_146494_r,keyBindingList,0,
field_146495_a,screenTitle,0,
field_146496_h,parentScreen,0,
field_146497_i,options,0,
field_146498_f,parentGuiScreen,0,
field_146499_g,guiGameSettings,0,
field_146500_a,screenTitle,0,
field_146501_h,optionsRowList,0,
field_146502_i,videoOptions,0,
field_146506_g,game_settings_4,0,
field_146510_b_,lanSearchStates,0,
field_146542_f,screenTitle,0,
field_146543_v,doesGuiPauseGame,0,
field_146544_g,renderItem,0,
field_146545_u,displaySlot,0,
field_146547_s,mobStats,0,
field_146548_r,blockStats,0,
field_146549_a,parentScreen,0,
field_146550_h,generalStats,0,
field_146551_i,itemStats,0,
field_146556_E,statFileWriter,0,
field_146558_F,loadingAchievements,0,
field_146562_a,parentScreen,0,
field_146580_a,logger,0,
field_146593_f,progress,0,
field_146594_a,netHandlerPlayClient,0,
field_146603_f,game_settings_2,0,
field_146629_g,logger,0,
field_146797_f,oldServerPinger,0,
field_146798_g,parentScreen,0,
field_146799_A,lanServerList,0,
field_146800_B,lanServerDetector,0,
field_146801_C,initialized,0,
field_146802_a,logger,0,
field_146803_h,serverListSelector,0,
field_146804_i,savedServerList,0,
field_146805_w,editingServer,0,
field_146806_v,addingServer,0,
field_146807_u,deletingServer,0,
field_146808_t,btnDeleteServer,0,
field_146809_s,btnSelectServer,0,
field_146810_r,btnEditServer,0,
field_146811_z,selectedServer,0,
field_146813_x,directConnect,0,
field_146848_f,tileSign,0,
field_146849_g,updateCounter,0,
field_146851_h,editLine,0,
field_146852_i,doneBtn,0,
field_146968_a,logger,0,
field_146974_g,logger,0,
field_146985_D,currentDragTargetSlot,0,
field_146986_E,dragItemDropDelay,0,
field_146987_F,dragSplittingLimit,0,
field_146988_G,dragSplittingButton,0,
field_146989_A,returningStackDestSlot,0,
field_146990_B,returningStackTime,0,
field_146991_C,returningStack,0,
field_146992_L,lastClickButton,0,
field_146993_M,doubleClick,0,
field_146994_N,shiftClickedSlot,0,
field_146995_H,ignoreMouseUp,0,
field_146996_I,dragSplittingRemnant,0,
field_146997_J,lastClickTime,0,
field_146998_K,lastClickSlot,0,
field_146999_f,xSize,0,
field_147000_g,ySize,0,
field_147001_a,inventoryBackground,0,
field_147002_h,inventorySlots,0,
field_147003_i,guiLeft,0,
field_147004_w,isRightMouseClick,0,
field_147005_v,clickedSlot,0,
field_147006_u,theSlot,0,
field_147007_t,dragSplitting,0,
field_147008_s,dragSplittingSlots,0,
field_147009_r,guiTop,0,
field_147010_z,touchUpY,0,
field_147011_y,touchUpX,0,
field_147012_x,draggedStack,0,
field_147013_v,tileBrewingStand,0,
field_147014_u,brewingStandGuiTextures,0,
field_147015_w,lowerChestInventory,0,
field_147016_v,upperChestInventory,0,
field_147018_x,inventoryRows,0,
field_147019_u,craftingTableGuiTextures,0,
field_147024_w,tileBeacon,0,
field_147025_v,beaconGuiTextures,0,
field_147026_u,logger,0,
field_147027_y,buttonsNotDrawn,0,
field_147028_x,beaconConfirmButton,0,
field_147031_u,horseGuiTextures,0,
field_147039_u,logger,0,
field_147045_u,hasActivePotionEffects,0,
field_147047_v,oldMouseY,0,
field_147048_u,oldMouseX,0,
field_147058_w,selectedTabIndex,0,
field_147061_u,creativeInventoryTabs,0,
field_147062_A,searchField,0,
field_147065_z,wasClicking,0,
field_147066_y,isScrolling,0,
field_147067_x,currentScroll,0,
field_147086_v,tileFurnace,0,
field_147087_u,furnaceGuiTextures,0,
field_147088_v,dispenserGuiTextures,0,
field_147089_u,tileDispenser,0,
field_147091_w,nameField,0,
field_147092_v,anvil,0,
field_147093_u,anvilResource,0,
field_147094_x,playerInventory,0,
field_147102_bM,logger,2,
field_147123_G,logger,0,
field_147124_at,framebufferMc,0,
field_147125_j,pointedEntity,0,
field_147126_aw,mcMusicTicker,0,
field_147127_av,mcSoundHandler,0,
field_147128_au,textureMapBlocks,0,
field_147129_ai,jvm64bit,0,
field_147141_M,serverTexturePack,2,
field_147142_T,nanoTimeSinceStatusRefresh,2,
field_147143_S,sessionService,2,
field_147144_o,networkSystem,2,
field_147145_h,logger,2,
field_147146_q,random,2,
field_147147_p,statusResponse,2,
field_147148_h,logger,0,
field_147150_a,logger,2,
field_147166_l,categoryName,0,
field_147167_m,categoryId,0,
field_147175_a,logger,2,
field_147208_a,logger,2,
field_147228_b,logger,0,
field_147229_c,pingDestinations,0,
field_147230_a,PING_RESPONSE_SPLITTER,0,
field_147299_f,gameController,0,
field_147300_g,clientWorldController,0,
field_147301_d,logger,0,
field_147302_e,netManager,0,
field_147303_b,playerInfoList,0,
field_147304_c,currentServerMaxPlayers,0,
field_147305_a,mapStorageOrigin,0,
field_147306_l,avRandomizer,0,
field_147307_j,guiScreenServer,0,
field_147309_h,doneLoadingTerrain,0,
field_147310_i,playerInfoMap,0,
field_147313_b,networkManager,2,
field_147314_a,server,2,
field_147327_f,server,2,
field_147328_g,currentLoginState,2,
field_147329_d,RANDOM,2,
field_147331_b,AUTHENTICATOR_THREAD_ID,2,
field_147332_c,logger,2,
field_147333_a,networkManager,2,
field_147334_j,serverId,2,
field_147335_k,secretKey,2,
field_147336_h,connectionTimer,2,
field_147337_i,loginGameProfile,2,
field_147365_f,floatingTickCount,2,
field_147367_d,serverController,2,
field_147368_e,networkTickCount,2,
field_147369_b,playerEntity,2,
field_147370_c,logger,2,
field_147371_a,netManager,2,
field_147373_o,lastPosX,2,
field_147374_l,chatSpamThresholdCount,2,
field_147375_m,itemDropThreshold,2,
field_147377_k,lastSentPingPacket,2,
field_147379_i,lastPingTime,2,
field_147380_r,hasMoved,2,
field_147381_q,lastPosZ,2,
field_147382_p,lastPosY,2,
field_147386_b,networkManager,2,
field_147387_a,server,2,
field_147396_a,logger,0,
field_147411_m,serverIcon,0,
field_147412_i,playerList,0,
field_147415_a,logger,0,
field_147417_b,logger,2,
field_147433_r,parabolicField,2,
field_147436_a,logger,0,
field_147481_N,processingLoadedTiles,2,
field_147482_g,loadedTileEntityList,2,
field_147483_b,tileEntitiesToBeRemoved,2,
field_147484_a,addedTileEntityList,2,
field_147489_T,blockEventCacheIndex,2,
field_147491_a,logger,2,
field_147503_f,textureChristmas,0,
field_147504_g,textureNormal,0,
field_147505_d,textureNormalDouble,0,
field_147506_e,textureTrapped,0,
field_147507_b,textureTrappedDouble,0,
field_147508_c,textureChristmasDouble,0,
field_147509_j,isChristams,0,
field_147510_h,simpleChest,0,
field_147511_i,largeChest,0,
field_147514_c,model,0,
field_147523_b,beaconBeam,0,
field_147550_f,worldObj,0,
field_147552_d,staticPlayerZ,0,
field_147553_e,renderEngine,0,
field_147554_b,staticPlayerX,0,
field_147555_c,staticPlayerY,0,
field_147556_a,instance,0,
field_147559_m,mapSpecialRenderers,0,
field_147566_d,floatBuffer,0,
field_147567_e,shortBuffer,0,
field_147568_c,intBuffer,0,
field_147569_p,rawBufferIndex,0,
field_147577_f,hasNormals,0,
field_147578_g,hasColor,0,
field_147579_d,hasTexture,0,
field_147580_e,hasBrightness,0,
field_147581_b,rawBufferIndex,0,
field_147582_c,vertexCount,0,
field_147583_a,rawBuffer,0,
field_147592_B,renderBlocksRg,0,
field_147593_P,mapSoundPositions,0,
field_147594_S,displayListEntities,0,
field_147595_R,displayListEntitiesDirty,0,
field_147596_f,prevRenderSortX,0,
field_147597_g,prevRenderSortY,0,
field_147598_a,tileEntities,0,
field_147599_m,logger,0,
field_147600_j,prevChunkSortY,0,
field_147601_k,prevChunkSortZ,0,
field_147602_h,prevRenderSortZ,0,
field_147603_i,prevChunkSortX,0,
field_147616_f,framebufferObject,0,
field_147617_g,framebufferTexture,0,
field_147618_d,framebufferHeight,0,
field_147619_e,useDepth,0,
field_147620_b,framebufferTextureHeight,0,
field_147621_c,framebufferWidth,0,
field_147622_a,framebufferTextureWidth,0,
field_147623_j,framebufferFilter,0,
